CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
’a’’a,,"v, n",,"hit, slap, strike",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Woidich 2006,2006,,,"body, action"
’aḥḥ,,"n, v",,"to pee, urine",Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,"In Morocco used as interj 'danger, watch out, wound, harm, pain'",,"body, bodily functions, action"
(a)guita,,"n, v","agua, bebe","water, drink",Spain,Romance,,Spanish,,Ferguson 1964,1964,DIM,,
77 (double click),,n,l-ḥmar,"donkey, ass, mule, horse",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991 ,1991,,,animals
a''aḥḥ,,"n, v",,"go to the toilet, pee, poo",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"body, bodily function"
a'mm a'mm? aɛmm aɛmm? aɛmmaš,,"v, n",,to eat; food,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"body, bodily function, action, food"
a'ua'uš (aɛuaɛuš?),,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Béjaïa,,1998,,,"food, drink"
a(ll) gone,,interj,,"nothing left, all gone","USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
aàm,,v,mangiare,eat,Italy,Romance,,Italian,Rome/Torino,,2015,,,"action, bodily function"
abaḥ,,v,"ddu; arwaḥ/adu (Talġunt); tmešša ‘walk’; azi (Ketama)/azzi (Snh.) ‘run’; azi-d aġuri ‘come/run to me!’;
 ffuġ ‘go out!’ (rude), sir ‘go’",come!,Morocco,Amazigh (Berber),Senhaja,Ketama,Beni Hmed,,2025,From ADS arwaḥ (r disappears and w > b),,"body, action"
abaḥ,,v,raḥ-id,come!,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,,,"body, bodily function, action"
abbəw,,v,uṭa[?].,fall,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c. ,2014,,,"action, negative, warning, body"
aḅḅi,,n,ambu,mouth,Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c. ,2014,Derived from adult ambu.,,"body, body part"
"abeɛɛš, abeɛɛuš",,n,taġat,sheep,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,"Siham's parents could use abeɛɛš/abeɛɛuš, PL ibeɛɛšen/ibeɛɛušen. Adult: taġat (PL wulli/timɛaz).",,animals
abi,,v,awi-d,bring,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,"action, command"
abi-d,,v,awi-d,bring!,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,From the adult speech awi(-d) with the substitution (w > b). Not known to Maryam.,,"body, action"
abi(d),,v,awi-d,bring!,Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,From the adult speech awi(-d) with the substitution (w > b).,,"body, action"
abu,,n,abuela/abuelo,grandmother/grandfather,Spain,Romance,,Spanish,,,2024,,,
adda,,"v, n","gitmek, gezmek (as to go); gezinti (journey), dışarı gitmek","go; journey, going outside",Turkey,Turkic,,Turkish,İzmir/Istanbul,,"2015, 2024",,Adda gidelim mi?,action
adu,,v,,come!,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,adu ADS=CDS,,"body, action"
